iter	Passed	Remaining
0	147	14602
1	173	8514
2	200	6478
3	229	5512
4	257	4891
5	289	4536
6	315	4187
7	343	3950
8	369	3737
9	395	3560
10	427	3456
11	460	3379
12	505	3385
13	542	3331
14	577	3272
15	615	3231
16	646	3158
17	676	3080
18	704	3004
19	734	2939
20	769	2896
21	798	2830
22	873	2923
23	927	2937
24	955	2865
25	981	2794
26	1009	2729
27	1036	2665
28	1063	2604
29	1090	2544
30	1117	2488
31	1147	2439
32	1180	2396
33	1219	2367
34	1253	2327
35	1279	2275
36	1305	2222
37	1328	2168
38	1353	2117
39	1378	2067
40	1404	2021
41	1430	1976
42	1455	1929
43	1479	1883
44	1504	1838
45	1530	1796
46	1555	1753
47	1581	1712
48	1605	1671
49	1630	1630
50	1654	1589
51	1680	1550
52	1705	1512
53	1730	1474
54	1755	1436
55	1780	1399
56	1806	1362
57	1838	1331
58	1865	1296
59	1890	1260
60	1915	1224
61	1942	1190
62	1969	1156
63	1995	1122
64	2021	1088
65	2047	1054
66	2071	1020
67	2096	986
68	2121	953
69	2147	920
70	2172	887
71	2209	859
72	2256	834
73	2280	801
74	2306	768
75	2331	736
76	2357	704
77	2383	672
78	2407	640
79	2433	608
80	2458	576
81	2484	545
82	2508	513
83	2534	482
84	2559	451
85	2585	420
86	2611	390
87	2639	359
88	2665	329
89	2690	298
90	2717	268
91	2744	238
92	2770	208
93	2795	178
94	2819	148
95	2849	118
96	2873	88
97	2899	59
98	2925	29
99	2951	0
