iter	RMSE
0	1228.152342
1	1149.584084
2	1076.806538
3	1008.91593
4	947.3804412
5	889.5405634
6	837.0070223
7	789.2420707
8	745.6479046
9	703.5345118
10	665.1858667
11	632.0905486
12	599.8166263
13	569.8738902
14	545.0137597
15	522.2205418
16	499.7731218
17	479.2106286
18	460.6496572
19	444.129782
20	428.7384698
21	416.3119021
22	405.5855619
23	393.9608041
24	383.6409256
25	375.1678665
26	367.8639306
27	359.7187099
28	352.7436126
29	347.5197949
30	342.1203409
31	337.4176045
32	332.5279175
33	328.5633027
34	325.2678378
35	322.2299931
36	319.7270166
37	316.7626517
38	314.3936281
39	312.3182149
40	309.6972665
41	307.7721863
42	305.581426
43	304.2702001
44	302.8081681
45	301.4122291
46	299.2747895
47	297.4694855
48	296.2999982
49	295.1383768
50	293.9678471
51	291.8793937
52	290.9420969
53	289.921776
54	289.1936159
55	288.3799677
56	287.9101199
57	286.7013356
58	284.6966506
59	283.9675027
60	283.3854933
61	282.8252846
62	281.9794837
63	280.48583
64	279.1504116
65	278.6127649
66	277.6498635
67	277.206411
68	276.2513298
69	275.3534355
70	274.9418936
71	274.578935
72	272.7450595
73	271.7011426
74	270.242718
75	269.4840796
76	268.2089832
77	267.8803715
78	266.7675166
79	265.5596993
80	264.3797963
81	263.385991
82	262.633574
83	261.3264149
84	260.604994
85	258.9515722
86	258.6132537
87	258.0906984
88	257.0532967
89	256.4784152
90	255.5025091
91	254.5937486
92	253.5923627
93	252.8791554
94	252.5556503
95	252.0964479
96	251.3001587
97	250.5907994
98	249.9985429
99	249.3453381
100	248.7345287
101	247.5074298
102	247.2231807
103	246.499006
104	245.9046348
105	245.3673585
106	244.5597736
107	243.7440623
108	243.074877
109	242.6549937
110	241.9180253
111	240.8828167
112	240.6587802
113	239.9430708
114	239.5512966
115	238.8257204
116	238.5710194
117	238.3046245
118	238.0572819
119	237.478774
120	236.9017716
121	236.760795
122	236.0666667
123	235.6024675
124	235.0325476
125	234.464204
126	234.2864267
127	233.9357505
128	233.6432174
129	232.9745065
130	232.3368082
131	231.2930792
132	231.0379486
133	230.4042077
134	230.1031202
135	229.8093535
136	229.5932254
137	229.1043951
138	228.5559854
139	228.053308
140	227.7790458
141	227.423313
142	226.9499231
143	226.6063046
144	226.2619578
