iter	Passed	Remaining
0	144	144069
1	150	74908
2	155	51735
3	161	40092
4	166	33226
5	172	28516
6	177	25184
7	183	22758
8	188	20766
9	194	19292
10	200	18001
11	205	16902
12	211	16048
13	216	15257
14	221	14555
15	227	14007
16	233	13504
17	238	13021
18	245	12673
19	251	12318
20	257	12013
21	263	11721
22	269	11467
23	276	11236
24	282	11005
25	287	10761
26	293	10588
27	299	10398
28	305	10215
29	312	10109
30	318	9946
31	324	9808
32	329	9669
33	335	9527
34	341	9424
35	347	9311
36	353	9206
37	360	9124
38	367	9050
39	373	8957
40	380	8895
41	386	8826
42	394	8786
43	400	8703
44	407	8648
45	414	8603
46	421	8554
47	428	8492
48	433	8407
49	440	8361
50	446	8304
51	451	8230
52	457	8174
53	463	8116
54	468	8057
55	475	8014
56	480	7954
57	486	7906
58	492	7856
59	498	7812
60	505	7778
61	511	7735
62	517	7696
63	524	7665
64	529	7611
65	534	7569
66	540	7521
67	545	7474
68	551	7442
69	557	7403
70	562	7362
71	571	7361
72	577	7338
73	586	7341
74	592	7311
75	599	7285
76	604	7248
77	610	7216
78	616	7190
79	621	7151
80	626	7113
81	632	7080
82	637	7043
83	643	7016
84	649	6986
85	654	6950
86	659	6918
87	664	6887
88	669	6855
89	674	6822
90	680	6797
91	685	6766
92	690	6733
93	695	6708
94	701	6679
95	706	6654
96	712	6636
97	719	6618
98	724	6591
99	731	6580
100	737	6560
101	742	6538
102	751	6540
103	756	6514
104	761	6490
105	767	6469
106	772	6446
107	781	6455
108	787	6437
109	793	6417
110	799	6405
111	805	6384
112	813	6385
113	818	6361
114	823	6337
115	830	6325
116	835	6304
117	841	6291
118	846	6269
119	851	6245
120	856	6224
121	863	6211
122	868	6192
123	877	6200
124	882	6179
125	887	6159
126	894	6149
127	899	6129
128	906	6118
129	911	6099
130	916	6078
131	922	6064
132	927	6048
133	932	6028
134	938	6012
135	944	5997
136	949	5978
137	954	5961
138	959	5945
139	965	5928
140	971	5916
141	976	5899
142	981	5884
143	987	5872
144	994	5863
145	1000	5850
146	1006	5839
147	1013	5836
148	1019	5823
149	1024	5806
150	1029	5791
151	1035	5778
152	1040	5762
153	1045	5744
154	1050	5728
155	1056	5717
156	1061	5700
157	1066	5685
158	1072	5671
159	1077	5655
160	1082	5639
161	1087	5626
162	1092	5611
163	1098	5598
164	1104	5587
165	1109	5572
166	1114	5557
167	1121	5551
168	1126	5537
169	1131	5524
170	1137	5513
171	1142	5500
172	1147	5487
173	1153	5477
174	1159	5464
175	1164	5451
176	1169	5440
177	1175	5426
178	1181	5421
179	1187	5409
180	1192	5396
181	1198	5384
182	1203	5372
183	1208	5359
184	1214	5348
185	1219	5335
186	1224	5323
187	1230	5312
188	1235	5300
189	1240	5287
190	1245	5276
191	1251	5266
192	1256	5253
193	1261	5241
194	1266	5229
195	1271	5216
196	1276	5204
197	1282	5194
198	1288	5184
199	1293	5175
200	1299	5166
201	1304	5153
202	1310	5146
203	1316	5137
204	1321	5124
205	1327	5115
206	1332	5104
207	1337	5092
208	1343	5084
209	1348	5073
210	1353	5061
211	1359	5053
212	1364	5041
213	1369	5030
214	1374	5019
215	1380	5009
216	1385	4998
217	1391	4990
218	1396	4979
219	1401	4970
220	1406	4959
221	1412	4948
222	1417	4938
223	1422	4928
224	1427	4917
225	1432	4905
226	1437	4895
227	1442	4885
228	1447	4874
229	1453	4864
230	1458	4855
231	1463	4845
232	1469	4838
233	1475	4829
234	1480	4819
235	1485	4809
236	1491	4800
237	1496	4791
238	1501	4780
239	1506	4770
240	1511	4759
241	1515	4748
242	1521	4739
243	1526	4730
244	1531	4720
245	1536	4710
246	1541	4699
247	1546	4689
248	1551	4678
249	1556	4669
250	1561	4658
251	1566	4649
252	1572	4642
253	1577	4633
254	1583	4625
255	1591	4623
256	1596	4614
257	1604	4613
258	1609	4604
259	1614	4593
260	1619	4586
261	1624	4575
262	1628	4564
263	1634	4556
264	1639	4547
265	1644	4536
266	1649	4528
267	1654	4518
268	1663	4521
269	1671	4519
270	1679	4517
271	1685	4512
272	1691	4503
273	1697	4498
274	1705	4496
275	1712	4492
276	1720	4489
277	1725	4480
278	1730	4472
279	1736	4465
280	1741	4455
281	1746	4447
282	1755	4447
283	1764	4448
284	1781	4470
285	1797	4488
286	1808	4492
287	1817	4493
288	1833	4509
289	1844	4516
290	1857	4525
291	1867	4528
292	1874	4523
293	1886	4530
294	1892	4523
295	1904	4528
296	1910	4521
297	1918	4519
298	1924	4511
299	1933	4512
300	1940	4505
301	1949	4506
302	1955	4499
303	1965	4500
304	1972	4494
305	1983	4499
306	1990	4493
307	1998	4490
308	2004	4481
309	2012	4479
310	2019	4474
311	2026	4468
312	2032	4460
313	2038	4453
314	2046	4450
315	2052	4442
316	2059	4437
317	2066	4431
318	2072	4423
319	2078	4417
320	2084	4408
321	2091	4403
322	2097	4396
323	2103	4389
324	2111	4385
325	2117	4377
326	2124	4372
327	2130	4365
328	2136	4357
329	2144	4353
330	2150	4346
331	2159	4344
332	2165	4337
333	2173	4333
334	2178	4325
335	2184	4317
336	2192	4313
337	2198	4305
338	2205	4300
339	2212	4294
340	2219	4290
341	2227	4286
342	2235	4281
343	2241	4274
344	2248	4268
345	2256	4264
346	2262	4257
347	2269	4252
348	2275	4245
349	2281	4237
350	2288	4231
351	2294	4224
352	2301	4218
353	2307	4211
354	2313	4204
355	2321	4199
356	2328	4193
357	2335	4188
358	2342	4182
359	2350	4178
360	2357	4172
361	2363	4165
362	2371	4160
363	2377	4154
364	2384	4149
365	2391	4141
366	2398	4136
367	2406	4132
368	2412	4126
369	2421	4123
370	2429	4118
371	2437	4115
372	2444	4108
373	2453	4106
374	2462	4104
375	2470	4100
376	2480	4098
377	2487	4092
378	2496	4090
379	2503	4085
380	2512	4082
381	2519	4075
382	2527	4071
383	2538	4071
384	2546	4068
385	2563	4077
386	2576	4081
387	2588	4082
388	2596	4077
389	2604	4073
390	2613	4069
391	2619	4062
392	2626	4057
393	2634	4051
394	2641	4045
395	2649	4041
396	2655	4033
397	2664	4030
398	2671	4023
399	2679	4019
400	2685	4011
401	2694	4007
402	2700	4000
403	2710	3998
404	2716	3990
405	2724	3986
406	2731	3979
407	2738	3972
408	2745	3966
409	2752	3961
410	2761	3956
411	2767	3950
412	2774	3944
413	2781	3936
414	2787	3929
415	2793	3922
416	2800	3915
417	2807	3908
418	2814	3902
419	2821	3896
420	2829	3891
421	2837	3885
422	2847	3883
423	2855	3878
424	2864	3875
425	2873	3872
426	2881	3866
427	2894	3867
428	2902	3863
429	2909	3856
430	2915	3849
431	2923	3843
432	2929	3835
433	2936	3829
434	2943	3822
435	2949	3815
436	2955	3808
437	2962	3800
