iter	RMSE
0	1226.466446
1	1146.117282
2	1072.528653
3	1005.315492
4	943.0098957
5	885.5303715
6	832.8146371
7	783.6521421
8	738.0532236
9	697.4271675
10	659.581501
11	624.5478556
12	594.0000886
13	565.0492133
14	537.9892938
15	515.2357924
16	492.7810917
17	472.4314004
18	453.8209452
19	438.3280416
20	423.369374
21	410.1533849
22	398.6034122
23	388.5283906
24	379.1679562
25	369.7839237
26	361.7856906
27	355.5532247
28	349.1002713
29	343.4422217
30	338.4673721
31	333.880559
32	329.7789566
33	325.6560531
34	322.7882452
35	319.1315455
36	316.1843321
37	313.8511507
38	310.7203558
39	309.1158319
40	306.5718519
41	303.9765586
42	301.9345176
43	299.3783132
44	297.6654572
45	296.0946239
46	294.6481709
47	293.3592767
48	291.2976641
49	289.2523057
50	287.8962388
51	285.6156771
52	283.7314585
53	282.8208439
54	281.9761912
55	281.0469162
56	279.4062781
57	278.7223925
58	277.8637039
59	276.8942515
60	276.2906797
61	275.6005063
62	274.2364445
63	273.3875769
64	272.7169624
65	271.8761291
66	270.4836854
67	269.8628278
68	268.2894082
69	267.9132681
70	267.0411786
71	266.2680969
72	265.3973809
73	264.6827913
74	263.4812039
75	263.1615919
76	262.7448275
77	260.7792132
78	259.4845325
79	258.404483
80	258.0009224
81	257.4393418
82	255.9502272
83	255.195831
84	254.3122308
85	253.8040386
86	253.1735954
87	252.859243
88	252.3859814
89	251.2654912
90	249.9611597
91	249.2646532
92	248.9344515
93	248.3736166
94	248.1378751
95	247.6644947
96	246.3509358
97	245.8472734
98	244.347574
99	243.7727416
100	243.4670424
101	242.9691424
102	242.3352147
103	241.8909469
104	241.001887
105	240.5521209
106	240.1723832
107	239.8056615
108	238.8526321
109	238.4139139
110	238.1709662
111	237.5844693
112	236.9986863
113	236.8229661
114	236.0657293
115	235.6879894
116	235.3699041
117	234.6033085
118	234.2473701
119	233.8313468
120	233.3643106
121	233.0923288
122	232.3990083
123	231.8965042
124	231.5239313
125	231.2905144
126	230.5465943
127	230.3281308
128	229.94167
129	229.7741419
130	229.2445686
131	228.7934408
132	228.3408008
133	228.0340038
134	227.6967516
135	227.1400982
136	226.68752
137	226.5060935
138	225.4196176
139	224.5582123
140	224.3648549
141	224.0207273
142	223.6860813
143	223.428743
144	223.3101845
145	222.9461595
146	222.712952
147	222.3462152
148	221.991844
149	221.5360917
150	221.227146
151	220.5051842
152	220.0429872
153	219.9026244
154	219.5369018
155	219.2563906
156	218.8121799
157	218.6180564
158	218.3364998
159	218.147541
160	217.996948
161	217.4998245
162	217.1555688
163	216.6409315
164	216.3924477
165	216.1018487
166	215.7603973
167	215.4138649
168	215.181847
169	214.8081618
170	214.505339
171	213.8761897
172	213.7127364
173	213.4146066
174	213.2472104
175	213.0096771
176	212.6889389
177	212.59442
178	212.3398559
179	211.8815439
180	211.7322138
181	211.5363982
182	211.4007256
183	211.1181217
184	210.9982524
185	210.8204706
186	210.5818033
